CLIENTE,PRODUCTO,PRECIO,CANTIDAD,CIUDAD,VENDEDOR,FECHA,ESTADO,CATEGORIA;
Almeta Unthank,Televisor,240821,5,Cali,Karen,05/28/2024,Cerrado,Electrodomésticos;
Ailina Jannaway,Celular,246931,4,Cali,Karen,03/01/2025,Cerrado,Tecnología;
Grantham Dun,etc...,2947598,3,Medellín,John,07/09/2024,Cerrado,Accesorios;
Lyndsay Barendtsen,etc...,2716431,2,etc...,John,09/08/2024,Cerrado,Accesorios;
Gabi Hinkens,Televisor,1794513,5,Cali,Karen,12/16/2024,Cancelado,Accesorios;
Ebonee Bovingdon,Celular,2299095,7,Medellín,Oscar,01/30/2025,Pendiente,Accesorios;
Ludovico Terris,Televisor,2347139,5,Cali,Karen,06/02/2024,Cancelado,Electrodomésticos;
Ginni Zaczek,Celular,230696,9,etc...,Oscar,12/14/2024,Cerrado,etc...;
Dennison Hyland,Televisor,2644192,5,Cali,Karen,09/29/2024,Pendiente,etc...;
Odette Rizzardi,etc...,2317442,2,etc...,Oscar,12/04/2024,Cerrado,etc...;
Neil Stollenberg,Televisor,1060277,3,Bogotá,John,02/15/2025,Cerrado,Accesorios;
Querida MacLese,Laptop,1780157,3,Medellín,Karen,07/22/2024,Cerrado,etc...;
Wilburt Eversfield,Laptop,2141739,1,Cali,John,07/20/2024,Pendiente,Accesorios;
Querida Kimmerling,Celular,1452395,7,Medellín,John,01/07/2025,Pendiente,Accesorios;
Nadean Forbear,Laptop,1541263,1,etc...,Oscar,11/01/2024,Pendiente,Tecnología;
Giavani Lawlan,Celular,2427881,9,Cali,Karen,02/18/2025,Cerrado,Accesorios;
Lurline Pitrollo,Laptop,443203,2,etc...,John,06/12/2024,Cancelado,Tecnología;
Lennie Wallentin,Laptop,2520265,2,Bogotá,John,05/19/2024,Pendiente,Tecnología;
Conn Paaso,Laptop,684465,5,Cali,Karen,09/18/2024,Cerrado,Accesorios;
Flem Myall,etc...,1651713,6,Bogotá,John,01/08/2025,Pendiente,etc...;
Hermina MacGall,etc...,381494,7,Cali,Karen,06/25/2024,Pendiente,etc...;
Svend Wessel,Celular,1949529,10,Cali,John,03/10/2025,Pendiente,Accesorios;
Jenine Miner,etc...,293617,9,Bogotá,John,07/21/2024,Cancelado,Electrodomésticos;
Devi Dunkerton,Televisor,1670721,8,Medellín,Karen,12/26/2024,Cerrado,Electrodomésticos;
Krystalle Oade,Celular,2137449,4,Cali,Oscar,06/12/2024,Cancelado,Accesorios;
Joseph Duval,Celular,303896,1,Bogotá,Oscar,01/09/2025,Cancelado,Tecnología;
Meade Davydychev,Laptop,1882137,6,Bogotá,John,11/20/2024,Cerrado,Electrodomésticos;
Sammy Sheeres,Laptop,1710742,4,Bogotá,Karen,01/25/2025,Pendiente,Accesorios;
Jerri Huffa,etc...,2394284,8,Medellín,John,01/26/2025,Pendiente,Electrodomésticos;
Charlene Towhey,Celular,459210,5,etc...,Oscar,06/29/2024,Cancelado,Accesorios;
Wenona Janata,Laptop,2227492,6,etc...,Oscar,11/29/2024,Cerrado,Accesorios;
Lammond Copson,Laptop,1454942,5,Cali,Karen,01/06/2025,Cerrado,etc...;
Norma Snalham,etc...,438581,7,Cali,Oscar,06/14/2024,Cancelado,Tecnología;
Bobbie Skoof,Celular,2133441,4,Medellín,John,02/23/2025,Pendiente,etc...;
Yank Pottery,Televisor,1912649,6,Cali,Karen,11/23/2024,Cerrado,Accesorios;
Javier Rubinchik,etc...,2884690,8,etc...,John,12/14/2024,Cancelado,etc...;
Allianora Reynard,etc...,1222017,10,etc...,Oscar,08/11/2024,Pendiente,Accesorios;
Paquito Sefton,etc...,1250043,8,etc...,Karen,01/21/2025,Cerrado,Accesorios;
Basil Wodham,Laptop,2545884,1,Bogotá,John,08/22/2024,Cerrado,etc...;
Reine Daymond,Celular,1537344,4,Medellín,Karen,08/01/2024,Cancelado,etc...;
Berty Kener,Televisor,1831875,5,Medellín,John,11/05/2024,Cancelado,Tecnología;
Christophorus Mustoe,Televisor,893461,1,Cali,Karen,03/20/2025,Cancelado,Accesorios;
Adiana Munkley,etc...,1334019,7,etc...,John,10/22/2024,Pendiente,etc...;
Mala Tippetts,Laptop,1564260,5,Cali,Karen,08/20/2024,Cerrado,etc...;
Kinny Corkhill,etc...,508440,4,Cali,Oscar,07/04/2024,Pendiente,Tecnología;
Dex Zuanelli,Celular,2635605,1,Medellín,Oscar,11/06/2024,Pendiente,Tecnología;
Jerrilyn Tomasi,Laptop,2052806,9,Bogotá,John,05/09/2024,Cerrado,Accesorios;
Giselbert Highnam,Celular,674452,1,Bogotá,Oscar,06/26/2024,Cerrado,Electrodomésticos;
Omero Maddin,Laptop,365060,4,Medellín,John,10/28/2024,Cancelado,etc...;
Dotty Jones,Televisor,2436371,1,Bogotá,Karen,02/16/2025,Cerrado,etc...;
Arnoldo Kilgrove,Celular,1084007,10,Medellín,Oscar,06/07/2024,Cerrado,Electrodomésticos;
Buffy Gresty,Celular,1705466,5,Bogotá,Oscar,04/04/2025,Pendiente,etc...;
Ransell O'Roan,Laptop,563923,6,Bogotá,Oscar,11/01/2024,Pendiente,etc...;
Yul Kettow,etc...,1174489,5,Bogotá,John,01/04/2025,Pendiente,etc...;
Nickie Pinock,Celular,1883674,3,Cali,Karen,12/26/2024,Cerrado,Electrodomésticos;
Grayce Faye,etc...,954911,2,etc...,Karen,06/13/2024,Cerrado,Tecnología;
Alexandros Erdely,Laptop,2668453,9,Bogotá,John,07/07/2024,Cancelado,Accesorios;
Rubina De Lorenzo,Celular,321647,5,Cali,John,11/22/2024,Cerrado,Accesorios;
Petr Liles,etc...,2026806,6,etc...,Karen,09/09/2024,Pendiente,etc...;
Solly Conduit,Televisor,2359417,1,etc...,John,05/11/2024,Cerrado,Tecnología;
Christopher Gabbotts,Laptop,2208914,5,etc...,John,09/12/2024,Cerrado,etc...;
Dyana Flewan,Laptop,262122,3,Bogotá,John,06/13/2024,Cancelado,Tecnología;
Becky Torra,Televisor,751812,4,Medellín,John,04/12/2025,Cancelado,Electrodomésticos;
Mattias Derrington,Laptop,2029444,2,Bogotá,Oscar,12/03/2024,Cancelado,Accesorios;
Merridie Skayman,etc...,1330215,2,Bogotá,Oscar,02/19/2025,Cerrado,Electrodomésticos;
Worthy Simao,Televisor,654297,5,Medellín,John,12/12/2024,Cerrado,Accesorios;
Bordie Figgs,Celular,2297060,4,Cali,John,06/02/2024,Cerrado,Electrodomésticos;
Alethea Moizer,Laptop,2395052,3,Medellín,Oscar,01/23/2025,Cancelado,Electrodomésticos;
Sabine MacGillicuddy,Televisor,2262609,2,etc...,Oscar,12/26/2024,Pendiente,etc...;
Ingemar Melbourn,etc...,2796750,5,Cali,Karen,07/12/2024,Cancelado,etc...;
Meagan Stickney,etc...,2446597,10,Medellín,John,09/16/2024,Cancelado,Tecnología;
Georgi Calafato,etc...,150719,9,etc...,John,10/03/2024,Pendiente,Accesorios;
Henri Harme,Laptop,150321,1,Bogotá,John,09/11/2024,Cerrado,etc...;
Reinald Grzes,Laptop,388560,4,Bogotá,Karen,08/10/2024,Cancelado,Accesorios;
Roosevelt Butterly,Laptop,775600,9,etc...,Oscar,06/17/2024,Cancelado,Accesorios;
Andree Reubel,Televisor,983094,1,Bogotá,Oscar,08/14/2024,Cerrado,Accesorios;
Ivar Seldon,etc...,1328945,4,Bogotá,Oscar,10/28/2024,Cerrado,Tecnología;
Raynell Bennedick,Laptop,2089439,9,Bogotá,John,02/17/2025,Cerrado,etc...;
Homerus Weddeburn,Laptop,660645,6,Cali,Karen,08/12/2024,Pendiente,Accesorios;
Boycie Rigeby,Celular,2120821,10,Bogotá,John,08/13/2024,Pendiente,etc...;
Brinn Minico,Celular,2362566,3,Cali,Karen,01/06/2025,Pendiente,Accesorios;
Easter Bordes,Televisor,508689,4,Medellín,Oscar,11/21/2024,Cancelado,etc...;
Alfons Frail,etc...,2374593,1,Medellín,Oscar,12/15/2024,Cerrado,Electrodomésticos;
Noam Gomer,Laptop,1250286,7,etc...,John,12/14/2024,Pendiente,Accesorios;
Isidro Zum Felde,Laptop,620071,1,Cali,Karen,12/12/2024,Cerrado,etc...;
Alisun Sprowle,etc...,1709105,1,etc...,Karen,01/24/2025,Pendiente,Electrodomésticos;
Dredi Goodyear,Laptop,1791211,3,Cali,Karen,07/14/2024,Pendiente,Tecnología;
Sophronia Deamer,etc...,1765558,7,Cali,Karen,05/26/2024,Cerrado,etc...;
Corrina Shenton,Televisor,975097,6,Cali,Karen,09/23/2024,Cerrado,Accesorios;
Blondell Golbourn,Televisor,806648,3,Bogotá,John,11/03/2024,Pendiente,Accesorios;
Conchita Ortmann,Televisor,2656635,7,Bogotá,John,02/24/2025,Cancelado,etc...;
Genia Biesterfeld,etc...,2946116,9,Bogotá,John,04/02/2025,Cancelado,Electrodomésticos;
Ardyce O' Bee,Laptop,1537505,1,Cali,John,12/13/2024,Cancelado,etc...;
Javier Yielding,Celular,403622,5,etc...,Karen,08/04/2024,Cancelado,Tecnología;
Janot Edgington,Laptop,386765,10,etc...,John,11/05/2024,Pendiente,Accesorios;
Silvester Willock,Televisor,1365923,7,Cali,Oscar,04/23/2025,Cerrado,Tecnología;
Loydie Durtnel,Celular,1062303,6,Bogotá,John,10/17/2024,Pendiente,Tecnología;
Leonie Lighten,Laptop,2456932,10,Cali,Oscar,05/30/2024,Cancelado,Electrodomésticos;
Florentia Buske,Laptop,2901925,4,etc...,Karen,01/05/2025,Cancelado,Accesorios;
Carmita Lillgard,Televisor,1025171,2,Cali,Karen,03/10/2025,Cancelado,Electrodomésticos;
Alexandro Thirst,Televisor,2865947,7,etc...,John,04/23/2025,Cerrado,Tecnología;
Devora Cowderoy,Celular,1894998,10,Cali,Karen,08/06/2024,Cerrado,Tecnología;
Tamar Brader,Televisor,2860103,5,Medellín,Karen,05/31/2024,Cerrado,Electrodomésticos;
Gussy Heffron,etc...,1585352,6,etc...,John,07/30/2024,Pendiente,Electrodomésticos;
Peyton Doorey,etc...,168309,5,etc...,John,06/05/2024,Pendiente,Electrodomésticos;
Sandi McGrowther,Celular,2583508,8,etc...,John,12/09/2024,Cancelado,Accesorios;
Binky Menzies,Laptop,948617,2,Bogotá,John,04/12/2025,Cancelado,Tecnología;
Felicle Carnow,etc...,822414,8,Bogotá,Oscar,07/21/2024,Cancelado,Electrodomésticos;
Tedmund Bartul,Celular,350594,10,etc...,Oscar,07/17/2024,Cancelado,Tecnología;
Daren Berrie,etc...,823108,9,Bogotá,John,06/18/2024,Cerrado,Electrodomésticos;
Jorey Adkin,Laptop,1636269,7,Medellín,John,08/15/2024,Pendiente,Electrodomésticos;
Berne Corkitt,etc...,328445,8,Bogotá,Oscar,11/25/2024,Cancelado,Electrodomésticos;
Kane Duligall,Celular,1191247,6,Medellín,Karen,06/23/2024,Cerrado,Accesorios;
Bartie Point,Televisor,1014230,2,Bogotá,Karen,04/04/2025,Pendiente,etc...;
Iain Brewer,Celular,2093497,9,Medellín,Karen,02/21/2025,Cancelado,Accesorios;
Vivianna Laurisch,etc...,2410565,4,Medellín,Oscar,10/04/2024,Pendiente,Electrodomésticos;
Corenda Kneath,Celular,400340,10,etc...,Oscar,03/07/2025,Cerrado,Electrodomésticos;
Erik Rozalski,Celular,2789451,7,Bogotá,Karen,12/08/2024,Cerrado,Electrodomésticos;
Jameson Pendleberry,Celular,179711,8,Medellín,Oscar,02/07/2025,Cancelado,Tecnología;
Rodd Szepe,Televisor,771271,4,Cali,Karen,11/25/2024,Cerrado,etc...;
Kile Brussell,Celular,1400391,7,Cali,Oscar,05/14/2024,Cancelado,Accesorios;
Matilde Skin,etc...,489740,1,etc...,Karen,02/16/2025,Cancelado,Electrodomésticos;
Turner Renvoys,etc...,2945205,1,etc...,Oscar,07/15/2024,Cancelado,Tecnología;
Maddalena Taunton,Laptop,496995,6,Medellín,Oscar,12/05/2024,Pendiente,etc...;
Cristobal Hanvey,etc...,1955937,4,Medellín,Oscar,08/20/2024,Cancelado,Accesorios;
Rafael Koppeck,etc...,1484801,8,Medellín,Karen,03/23/2025,Cerrado,Accesorios;
Neron Walkling,Televisor,1475721,7,etc...,Oscar,04/17/2025,Cerrado,etc...;
Ana Serchwell,Celular,630627,9,Cali,Karen,09/30/2024,Cancelado,Electrodomésticos;
Deanna Pie,Televisor,971165,3,Bogotá,Oscar,08/23/2024,Pendiente,Accesorios;
Lesley Stickney,Celular,2553722,10,Medellín,Karen,12/26/2024,Cerrado,Accesorios;
Werner Epperson,etc...,2475661,5,etc...,John,07/28/2024,Cancelado,Accesorios;
Alvie Tanner,Laptop,1169742,7,etc...,Oscar,06/02/2024,Pendiente,Accesorios;
Marchelle Beardwell,Laptop,845764,2,Cali,John,08/31/2024,Pendiente,Accesorios;
Zora Everard,etc...,1543850,2,Medellín,Karen,07/28/2024,Pendiente,Electrodomésticos;
Thedric Pond-Jones,Televisor,2979898,1,Medellín,John,04/13/2025,Cerrado,Electrodomésticos;
Hyacintha Horrigan,Televisor,2678350,6,Cali,John,04/14/2025,Cancelado,Tecnología;
Yard Scotchbourouge,Celular,117888,8,etc...,Karen,05/07/2024,Pendiente,Electrodomésticos;
Patrizius Richardes,etc...,2428926,5,Medellín,John,11/21/2024,Pendiente,Accesorios;
Faydra Karolczyk,etc...,2958526,2,etc...,Oscar,12/31/2024,Cancelado,Electrodomésticos;
Baldwin Desantis,Laptop,1947566,4,Bogotá,Karen,02/18/2025,Pendiente,etc...;
Amitie Billingsly,Televisor,1014191,5,Medellín,Karen,10/30/2024,Pendiente,Electrodomésticos;
Filia Pimlock,etc...,2973913,2,Cali,Oscar,12/20/2024,Pendiente,Electrodomésticos;
Padraic Scrivin,etc...,167993,7,Medellín,John,04/13/2025,Cancelado,Tecnología;
Thelma Bowdler,etc...,1708885,1,Cali,Oscar,07/14/2024,Cancelado,Electrodomésticos;
Nelie Solon,Televisor,1023008,5,etc...,John,04/05/2025,Cancelado,Tecnología;
Vikky Cunniff,etc...,1264150,5,Medellín,John,09/24/2024,Cancelado,etc...;
Eula Dodle,Celular,759563,6,Medellín,Oscar,11/14/2024,Cerrado,Accesorios;
Elita Gautrey,Celular,2765049,4,Bogotá,John,06/05/2024,Cancelado,Tecnología;
Wallas Gomes,etc...,1639393,1,Cali,John,10/27/2024,Cerrado,etc...;
Heidi Plane,Televisor,2611405,5,Medellín,John,09/12/2024,Cancelado,Electrodomésticos;
Christan Relf,Celular,914680,6,Cali,Karen,07/08/2024,Pendiente,Electrodomésticos;
Webb Jennery,Celular,185368,9,Medellín,John,09/04/2024,Cerrado,etc...;
Tedi Crosby,Televisor,2971197,4,Bogotá,Oscar,02/18/2025,Pendiente,Accesorios;
Nadya Iffe,Celular,2783219,1,Cali,Karen,05/27/2024,Pendiente,Tecnología;
Katherina Tredinnick,Celular,1615080,5,Bogotá,Oscar,12/07/2024,Pendiente,Accesorios;
Koral Pavinese,Televisor,1905902,5,Cali,John,03/26/2025,Cancelado,Tecnología;
Osborn Iston,etc...,2141630,8,etc...,Karen,07/02/2024,Pendiente,Tecnología;
Cammy Langlands,etc...,1974091,6,Bogotá,John,04/22/2025,Pendiente,Tecnología;
Danika Sudy,etc...,1654507,1,etc...,Oscar,02/06/2025,Pendiente,Electrodomésticos;
Wyatt Goold,etc...,520435,4,Bogotá,Oscar,01/07/2025,Cerrado,etc...;
Trudi Steer,etc...,455863,10,Cali,Oscar,11/16/2024,Cerrado,Tecnología;
Lexie Bresland,etc...,2757230,1,Bogotá,John,02/07/2025,Pendiente,Electrodomésticos;
Aindrea Currell,etc...,2576052,5,Cali,Karen,01/07/2025,Cerrado,etc...;
Ronica Trengove,etc...,1030795,9,etc...,Karen,10/12/2024,Pendiente,etc...;
Kacey Dilleway,etc...,1607717,5,Bogotá,Karen,06/06/2024,Cerrado,Accesorios;
Olivero Wildber,Laptop,2372443,5,Bogotá,Oscar,08/08/2024,Cerrado,Electrodomésticos;
Kalli Hacksby,etc...,516641,2,etc...,Oscar,04/21/2025,Cerrado,Accesorios;
Lelia Solano,Televisor,1064063,8,Bogotá,Karen,10/13/2024,Cancelado,Tecnología;
Atlanta Speek,etc...,2157124,7,Bogotá,Oscar,09/05/2024,Cancelado,etc...;
Anatole Lideard,Celular,2624155,8,Medellín,Karen,04/24/2025,Cancelado,Tecnología;
Malia Blackshaw,etc...,1544863,9,Medellín,John,01/04/2025,Cerrado,Electrodomésticos;
Katie Biles,Televisor,1500588,6,etc...,Karen,06/14/2024,Pendiente,Electrodomésticos;
Sigvard Dansie,Televisor,1751785,5,Medellín,John,02/12/2025,Pendiente,Accesorios;
Ancell Rosenhaus,Laptop,727623,9,Medellín,Oscar,06/05/2024,Pendiente,Tecnología;
Edd Channing,Laptop,2060001,6,Medellín,Oscar,11/10/2024,Pendiente,etc...;
Wenda Maynell,Televisor,2711946,7,Cali,Oscar,08/16/2024,Cancelado,Electrodomésticos;
Berton Immer,Celular,398119,1,Bogotá,Karen,10/17/2024,Cancelado,Accesorios;
Mercie Woodhouse,etc...,392037,2,Cali,Karen,03/12/2025,Cancelado,etc...;
Abbot Danilovitch,Celular,689817,8,Medellín,Oscar,05/08/2024,Cancelado,Accesorios;
Harlan Drummer,Celular,2373325,10,Cali,Oscar,04/25/2025,Pendiente,Tecnología;
Tammy Perrat,Celular,538166,7,Medellín,Karen,08/08/2024,Cerrado,Electrodomésticos;
L;urette Fligg,etc...,2203793,1,Bogotá,Karen,01/28/2025,Cerrado,etc...
Babara Archer,Celular,1426167,6,etc...,Karen,11/08/2024,Pendiente,Accesorios;
Petrina Skevington,Laptop,939160,10,Cali,Oscar,08/25/2024,Cancelado,etc...;
Herb Gideon,Televisor,1782996,5,etc...,Karen,05/23/2024,Pendiente,Accesorios;
Lexis MacQueen,Celular,2748213,9,etc...,Oscar,03/03/2025,Cerrado,Accesorios;
Chicky Purrington,Televisor,2350754,8,etc...,Karen,05/15/2024,Cancelado,Tecnología;
Fitzgerald Badrock,etc...,1933754,1,Bogotá,Oscar,09/04/2024,Cerrado,Tecnología;
Buiron Fairbanks,Televisor,1415578,3,Bogotá,John,06/13/2024,Pendiente,Electrodomésticos;
Pablo Mowne,Laptop,1722860,5,etc...,Karen,01/27/2025,Cancelado,etc...;
Noami Quickfall,Celular,2238120,1,Cali,Oscar,09/06/2024,Cancelado,etc...;
Joly Crone,Televisor,2525688,5,etc...,Karen,10/16/2024,Cancelado,Electrodomésticos;
Richy Morffew,Televisor,1768778,5,Bogotá,John,08/03/2024,Cancelado,Electrodomésticos;
Noelyn Charsley,etc...,1881892,6,etc...,Karen,09/25/2024,Pendiente,Electrodomésticos;
Odelinda Stoddard,etc...,1770793,5,Medellín,Karen,05/13/2024,Cerrado,Electrodomésticos;
Lorne Renny,etc...,998058,2,Bogotá,Karen,09/17/2024,Cancelado,etc...;
Iosep Byers,Celular,1911785,5,Cali,John,03/16/2025,Cancelado,Accesorios;
Alexandro Pochet,etc...,2197209,8,etc...,Karen,10/25/2024,Pendiente,Tecnología;
Carlie Isacoff,etc...,2047720,7,Cali,Oscar,01/01/2025,Cancelado,Electrodomésticos;
Hubert Barrs,Celular,1579012,4,Bogotá,John,01/22/2025,Cerrado,Tecnología;
Andros Bonehill,Laptop,2886841,9,etc...,Oscar,08/06/2024,Pendiente,Accesorios;
Filmore Cuffin,etc...,428516,2,Medellín,Oscar,01/07/2025,Cancelado,Accesorios;
Jeri Galliard,etc...,2943273,9,Cali,Karen,08/12/2024,Pendiente,Electrodomésticos;
Camella Turfitt,Televisor,186567,4,etc...,Oscar,08/01/2024,Cerrado,Electrodomésticos;
Astrid O'Keeffe,Laptop,2994042,5,etc...,John,07/05/2024,Pendiente,etc...;
Sherlocke Sannes,Laptop,493400,3,Cali,Oscar,11/28/2024,Pendiente,etc...;
Inger Boyan,Laptop,1605178,8,Cali,Oscar,11/27/2024,Cancelado,Electrodomésticos;
Alayne Walkowski,etc...,2789336,3,Bogotá,Karen,04/26/2025,Cerrado,etc...;
Nerti Le Strange,etc...,458651,4,Bogotá,Oscar,03/12/2025,Cancelado,etc...;
Michail Hall-Gough,etc...,716169,6,Cali,Oscar,06/04/2024,Cerrado,Accesorios;
Kimberly Denis,etc...,1594285,10,Medellín,Oscar,09/06/2024,Pendiente,etc...;
Katinka Lyptrit,Laptop,1617307,10,Bogotá,Oscar,10/19/2024,Cancelado,Accesorios;
Feodor Farlowe,Laptop,1736742,5,Medellín,John,03/13/2025,Cerrado,Tecnología;
Danika Bodimeade,Laptop,2546711,4,Medellín,Oscar,06/03/2024,Cerrado,Electrodomésticos;
Wallis Wasteney,Celular,2812239,2,Medellín,Oscar,12/19/2024,Pendiente,Accesorios;
Nettie Wellbeloved,etc...,2144310,1,Medellín,John,05/20/2024,Cerrado,Accesorios;
Clara Noweak,Celular,2122882,8,Medellín,Oscar,08/17/2024,Cancelado,etc...;
Ivette Tandy,Laptop,2225306,2,Cali,John,01/02/2025,Cancelado,etc...;
Tracy Bamblett,Laptop,721929,9,Medellín,Karen,02/25/2025,Pendiente,Accesorios;
Cosme Masdin,etc...,1508789,1,Bogotá,Karen,08/24/2024,Cancelado,Tecnología;
Happy Gepp,Televisor,2908809,9,Cali,Oscar,02/27/2025,Cerrado,Electrodomésticos;
Fran Stanman,Televisor,557839,3,Medellín,John,04/18/2025,Cerrado,Tecnología;
Stanfield Rehor,Televisor,232417,5,Bogotá,John,06/19/2024,Cerrado,Electrodomésticos;
Oneida Lagden,Televisor,2771978,4,Cali,Oscar,08/07/2024,Cerrado,etc...;
Davidson Schorah,Televisor,2328167,8,Cali,Oscar,02/01/2025,Cancelado,Electrodomésticos;
Victoir Crosoer,etc...,2829426,2,etc...,Karen,02/09/2025,Cancelado,Electrodomésticos;
Gerry Chestney,Celular,2596726,6,Bogotá,Oscar,09/29/2024,Pendiente,Accesorios;
Janenna Somersett,Laptop,903943,1,Cali,Karen,07/13/2024,Pendiente,Accesorios;
Dusty D'Souza,etc...,977530,4,Cali,Karen,08/27/2024,Cerrado,Accesorios;
Sallee Balsom,Laptop,2691561,6,etc...,John,01/07/2025,Pendiente,Tecnología;
Ron Teather,Televisor,1075438,8,etc...,John,09/04/2024,Pendiente,Tecnología;
Virge Chaucer,Televisor,1302288,2,Medellín,Oscar,02/06/2025,Pendiente,Electrodomésticos;
Ginni Brabban,Celular,1174756,3,Bogotá,Oscar,05/04/2025,Cerrado,Accesorios;
Ruggiero Brownsill,etc...,298269,1,Medellín,Oscar,10/22/2024,Pendiente,Tecnología;
Boone O'Sharkey,Televisor,1486861,5,Medellín,Oscar,04/28/2025,Pendiente,Electrodomésticos;
Hartwell Hanley,etc...,234493,8,Medellín,Oscar,04/09/2025,Pendiente,etc...;
Augustine Hoggetts,Celular,1214627,7,Bogotá,Oscar,04/22/2025,Cerrado,etc...;
Di Dalla,etc...,131775,3,Medellín,Karen,08/14/2024,Pendiente,etc...;
Patsy Blewitt,Celular,954035,3,Bogotá,John,04/21/2025,Pendiente,Accesorios;
Raynard Goley,etc...,2273494,6,Cali,John,09/30/2024,Pendiente,Tecnología;
Brook Anyene,Televisor,1301552,7,Bogotá,Karen,05/29/2024,Cerrado,Tecnología;
Alasteir Kigelman,Laptop,848596,4,Bogotá,John,10/09/2024,Cerrado,Accesorios;
Krishnah Feathers,Televisor,2150670,4,Medellín,Oscar,05/15/2024,Pendiente,Tecnología;
Ailey Roslen,Celular,2284710,2,etc...,John,08/15/2024,Cancelado,Electrodomésticos;
Brandyn Boddice,Laptop,1640509,7,Cali,Karen,03/12/2025,Cancelado,etc...;
Frans Baalham,Televisor,2053795,10,Cali,John,03/18/2025,Cerrado,Tecnología;
Val Dudley,Celular,665855,6,Medellín,Oscar,12/21/2024,Cerrado,Accesorios;
Merrie Batts,Laptop,2224746,8,Cali,John,05/16/2024,Cerrado,etc...;
Robinett Lamball,Celular,1182135,5,Bogotá,John,07/15/2024,Cancelado,Accesorios;
Carlye Curro,Celular,2610951,7,Bogotá,John,01/07/2025,Cerrado,etc...;
Massimiliano Comberbeach,Celular,657235,5,Bogotá,Karen,05/20/2024,Cerrado,Electrodomésticos;
Nicoline Jerok,Televisor,2711568,4,Bogotá,Karen,03/30/2025,Cancelado,Accesorios;
Alejandrina Kellough,Televisor,974787,7,etc...,Oscar,01/03/2025,Cerrado,Tecnología;
Armando Confait,Celular,2065412,8,Bogotá,Oscar,07/07/2024,Pendiente,Accesorios;
Fidela Floweth,Televisor,2509485,8,Medellín,Karen,01/16/2025,Pendiente,Tecnología;
Corri Caldeyroux,Televisor,1969447,8,Cali,Karen,10/10/2024,Cerrado,Tecnología;
Ginny Ivanikov,Celular,1525189,3,etc...,Karen,04/12/2025,Cancelado,etc...;
Renie Colegrove,etc...,403218,3,Cali,Oscar,10/18/2024,Pendiente,etc...;
Kristofer Glewe,Laptop,384875,5,Bogotá,John,10/12/2024,Pendiente,etc...;
Lucienne Rawood,etc...,1723282,10,Cali,John,06/12/2024,Cerrado,Accesorios;
Kimberlee Demangeot,Celular,1853112,10,Cali,Karen,03/02/2025,Cerrado,etc...;
Kristopher McGuiness,Laptop,798621,10,etc...,John,08/18/2024,Cerrado,etc...;
Arlena Franchyonok,etc...,1244286,5,Medellín,Oscar,09/14/2024,Cancelado,Tecnología;
Rivalee Hogben,etc...,2729224,10,Medellín,John,10/21/2024,Cancelado,Electrodomésticos;
Dulci Jakoub,etc...,292555,6,Cali,Oscar,08/18/2024,Cerrado,Electrodomésticos;
Mercedes Swin,Televisor,2909636,7,etc...,Oscar,10/03/2024,Pendiente,etc...;
Mick Prendeville,Laptop,1292004,7,Medellín,John,12/06/2024,Cancelado,Electrodomésticos;
Pollyanna Varnham,Celular,2406060,8,Medellín,Karen,11/15/2024,Pendiente,Tecnología;
Frederich Dearle,Televisor,2494483,2,Cali,Oscar,02/24/2025,Cancelado,Tecnología;
Corbet Skoggins,Laptop,801108,5,Bogotá,John,10/13/2024,Cerrado,Tecnología;
Giles Garaghan,Celular,2609491,2,etc...,John,08/08/2024,Pendiente,Tecnología;
Fredelia Savidge,etc...,2564480,8,Bogotá,Karen,12/03/2024,Cerrado,Tecnología;
Hirsch Ducarne,Celular,2163548,9,Bogotá,Karen,11/09/2024,Cancelado,Tecnología;
Rahal Furber,etc...,822142,8,Medellín,John,05/09/2025,Cancelado,Accesorios;
Anton Crix,Celular,1737039,1,Medellín,Oscar,03/31/2025,Cerrado,etc...;
Christina Northcott,Laptop,2404109,9,Bogotá,Karen,11/04/2024,Cancelado,Electrodomésticos;
Brooke Angood,etc...,2904752,4,Bogotá,Oscar,10/27/2024,Pendiente,Electrodomésticos;
Emlyn Cochet,etc...,2236833,10,Cali,Karen,10/02/2024,Cancelado,etc...;
Artur Zannelli,Televisor,2300491,5,Medellín,Karen,06/01/2024,Cancelado,Accesorios;
Heall Oldroyde,etc...,2839370,9,Bogotá,Oscar,06/06/2024,Cerrado,Tecnología;
Kassi Giraudou,etc...,2034510,3,Bogotá,John,11/09/2024,Cerrado,Tecnología;
Ahmed Imison,Televisor,2348606,4,etc...,John,07/19/2024,Cerrado,etc...;
Austen Rysom,Laptop,1430026,5,etc...,John,12/15/2024,Cerrado,Electrodomésticos;
Gamaliel Harman,etc...,600799,4,Cali,John,06/25/2024,Cerrado,Electrodomésticos;
Raye Enns,Televisor,1863822,7,Cali,Oscar,06/25/2024,Cerrado,Accesorios;
Rochester Palk,etc...,2825226,2,Cali,John,02/01/2025,Cancelado,Accesorios;
Felix Ayris,Celular,2739552,9,Medellín,John,02/16/2025,Cerrado,Accesorios;
Irene Bryde,etc...,1534346,5,Medellín,John,12/17/2024,Cerrado,Tecnología;
Wyndham Dawbery,etc...,1928914,4,etc...,John,08/23/2024,Cancelado,etc...;
